Кривой Рог,Кривий Ріг,Krivoy Rog
Хоростков,Хоростков,Khorostkov
Тульчин,Тульчин,Tulchin
Днепр,Дніпро,Dniper
Львов,Львів,Lviv
Волноваха,Волноваха,Volnovaha
Донецк,Донецьк,Donetsk
Новая Каховка,Нова Каховка,New Kakhovka
Херсон,Херсон,Kherson
Люботин,Люботин,Lyubotin
Николаев,Миколаїв,Nikolaev
Новоазовск,Новоазовск,Novoazovsk
Андрушёвка,Андрушівка,Andrushevka
Чуднов,Чуднов,Chewers
Славута,Славута,Slavuta.
Белз,Белз,Bells
Батурин,Батурин,Baturin
Жмеринка,Жмеринка,Zhmerinka
Долина,Долина,Dolina
Светлодарск,Легкий,Light
Мукачево,Мукачево,Mukachevo
Радехов,Радехов,Radekhov
Староконстантинов,Староконстантинов,Starokonstantinov
Мерефа,Мерефа,Merma
Белополье,Білополо,Belopolé
Виноградов,Виноградов,Vinogradov
Кропивницкий,Кропивницкий,Kropivnitsky
Первомайск,Первомайський,Pervomaisk
Хрустальный,Кристал,Crystal
Рубежное,Рубежное,Rubezhnoe
Ровно,Гладкий,Smooth
Решетиловка,Решетиловка,Reshetilovka
Деражня,Деражня,Derazhnya
Одесса,Одеський,Odessa
Иловайск,Іловайськ,Ilovaisk
Лозовая,Лозова,Lozova
Винница,Вінниця,Vinnitsa
Монастырище,Моностичний,Monostic
Любомль,Любомль,Luboml
Тараща,Тараща,Tarascha
Таврийск,Таврійськ,Tavriysk
Волочиск,Волочиск,Volochisk
Ковель,Ковель,Kovel
Сокаль,Сокаль,Sokal
Снежное,Сніговий,Snowy
Чортков,Чортков,Chortkov
Угнев,Угнєв,Ugnev
Шаргород,Шаргород,Shargorod
Шостка,Шостка,Shost
Мариуполь,Маріуполь,Mariupol.
Старый Крым,Старий Крим,Old Crimea
Городня,Городня,Gorodnya
Харьков,Харків,Kharkov
Теплодар,Теплодар,Teplodar
Рудки,Руд,RDDs
Шпола,Шпола,Veneer
Вознесеновка,Вознесеновка,Asnesenovka
Христиновка,Християнський,Christyn
Кицмань,Кицмань,Kitsman
Подгородное,Підродній,Podgorodnoe
Инкерман,Інкерман,Inkerman
Старый Самбор,Старий samb,Old Samb
Подольск,Подольськ,Podolsk
Погребище,Погребище,Pogrebishche
Стрый,Сильний,Stry
Амвросиевка,Амвросиевка,Ambrosievka
Макеевка,Макіївка,Makeevka
Борислав,Борислав,Borislav
Шахтёрск,Шахтарськ,Shakhtarsk
Ужгород,Ужгород,Uzhhorod
Голая Пристань,Гола пристань,Naked marina
Стебник,Стебник,Stebnik
Почаев,Папа,Pope
Ананьев,Ананьєв,Ananyev
Дебальцево,Дебальцево,Debaltsevo
Припять,Пріп'ят,Pripyat
Каховка,Каховка,Kakhovka
Новый Калинов,Новий Калінов,New Kalinov
Зеньков,Зенков,Zenkov
Дрогобыч,Дрогобич,Drohobych
Бахмут,Бахмут,Bakhmut.
Углегорск,Uglegorsk,Uglegorsk
Кременец,Кременець,Kremenets
Красилов,Красилов,Крислев
Симферополь,Сімферополь.,Simferopol.
Сумы,Суми.,Sumy.
Арциз,Аркіз,Arciz
Полонное,Полонное,Polonne
Евпатория,Евпаторія,Evpatoria
Гадяч,Гадяч,Gateych
Енакиево,Enakievo,Enakievo
Борщёв,Борщёв,Borschev.
Старобельск,Зірковий,Starbeltian
Славутич,Славутич,Slavutych.
Рахов,Рахов,Rahov
Радивилов,Радивилов,Radivilov
Сватово,Сватово,Svatovo
Синельниково,Синельниково,Sinelnikovo
Васильков,Васильков,Vasilkov
Боярка,Боярка,Boyarka
Глиняны,Глінці,Glinians
Черновцы,Чернівці,Chernivtsi
Рава-Русская,Рава-Русская,Rava-Russkaya.
Бахмач,Бахмач,Bakhmach
Чоп,Чоп,Chop
Верховцево,Верховцево,Verkhovtsevo
Хмельницкий,Хмельницький,Khmelnitsky
Нетешин,Нестача,Netishin
Светловодск,Світловодськ,Svetlovodsk
Ромны,Роман,Romna
Березно,Березно,Berezno
Севастополь,Севастополь,Sevastopol
Каменское,Кам'янське,Kamenskoye
Монастыриска,Монастирський,Monastyrisk
Косов,Косова,Kosova
Петрово-Красноселье,Петрово-Краснель,Petrovo-Krasnejel
Перещепино,Перещіпіно,Pereshchpino
Терновка,Терновка,Ternovka
Трускавец,Трускавець,Truskavets
Устилуг,Устилуг,Ustylug
Запорожье,Запоріжжя,Zaporizhia
Дружба,дружба,friendship
Золотое,Золотий,Golden
Украинка,Український,Ukrainian
Ахтырка,Ахтика,Akhtyka
Сторожинец,Столожинець,Storozhinets
Счастье,Щастя,Happiness
Святогорск,Святогорск,Svyatogorsk.
Буск,Буркотун,Busk
Новгород-Северский,Новгород-Сіверський,Novgorod-Seversky
Знаменка,Цифра,Digit
Докучаевск,Докучаєвськ,Dokuchaevsk
Миргород,Миргород,Mirgorod
Лисичанск,Лисичанськ,Lisichansk
Перечин,Перечин,Rhin
Жолква,Колквава,Kolkwawa
Овруч,Овруч,Ovruch
Тернополь,Тернопіль,Ternopil
Геническ,Генічний,Genic
Радомышль,Радомишль,Radomyshl
Прилуки,Прилуки,Priluki
Галич,Галич,Galich
Коростень,Коростень,Korosten
Кадиевка,Кадр,Cadium
Антрацит,Антрацит,Anthracite
Смела,Перерву,Break
Добромиль,Добромиль,Dobromil
Новоград-Волынский,Новоград-Волинський,Novograd-Volynsky
Горловка,Горлівка,Gorlovka
Кременчуг,Кременчук,Kremenchug
Снигирёвка,Котедж,Cottage
Марьинка,Маринка,Maryinka
Бобрка,Бобрка,Bobrka
Пирятин,Пирятин,Pyrate
Берегово,Берегово,Berovo
Лебедин,Лебедин,Lebedin
Комарно,Комарно,Komarno
Свалява,Свалява,Svalyava
Килия,Клітина,Cell
Перемышляны,Месльяни,Mesjlyany
Барвенково,Барвенково,Barvenkovo
Обухов,Обухов,Obukhov
Заставна,Заставна,Mortgage
Вознесенск,Вознесенськ,Voznesensk
Южн,Пан,Nember
Каменец-Подольский,Кам'янець-Подільський,Kamenets-Podolsky
Ватутино,Ватутино,Vatutino
Орехов,Орехов,Orekhov
Узин,Лук,Bow
Сокиряны,Сокиряны,Sokyria
Канев,Канев,Kanev
Моршин,Моршин,Morshyn
Надворная,Назовні,Outside
Ильинцы,Ілінці,Ilintsy
Гребёнка (город),Combship (місто),Combship (city)
Сарны,Там місяць,There moon
Иршава,Іршава.,Irshava.
Бурштын,Бурштиновий,Amber
Семеновка,Семенівка,Semenovka
Снятын,Резиденція,Residence cunt
Киев,Київ,Kiev
Новояворовск,Новояворовск,Novoyovsk
Коломыя,Кишечник,Colomy
Судак,Zander,Zander
Буча,Буча,Bucha
Бровары,Броварський,Brovary
Вижница,Вижница,Vyzhnitsa
Феодосия,Феодосія,Feodosia
Ждановка,Ждановка,Zhdanovka
Армянск,Вірменський,Armenian
Гайсин,Гайсин,Gaisin
Щёлкино,Скелкіно,Schelkino
Дубровица,Дубровиця,Dubrovica
Зализное (город),Сюллен (місто),Sullen (city)
Павлоград,Павлоград,Pavlograd
Кипуче,Нуль,Null
Судовая Вишня,Корабельна вишня,Ship cherry
Авдеевка,Авдіївка,Avdeevka
Волчанск,Вулчанський,Volchansk
Умань,Умань,Uman
Курахово,Курахово,Kurahovo
Васильевка,Васильєвка,Vasilievka
Изюм,Родзинка,Raisin
Голубевка,Голуб,Pigeon
Городок,Місто,Town
Бар,Мати,Have
Острог,Острог,Ostrog
Марганец,Марганець,Manganese
Попасная,Попасная,Popasna
Ходоров,Годоров,Hodorov
Валки,Валки,Walks
Вышгород,Вишгор,Vyshgor
Самбор,Самб,Samb
Лановцы,Лановсія,Lanovsy
Лутугино,Лутугіно,Lutugino
Каменка-Бугская,Кам'янка-Бугская,Kamenka-Bugskaya
Пологи,Пологи,Childbirth
Ворожба,Ворожіння,Divination
Моспино,Mospino,Mospino
Полтава,Полтава,Poltava.
Першотравенск,Першотравенск,Pershotravensk
Красноград,Красноград,Krasnograd
Чугуев,Чепуєв,Chuguev
Богодухов,Богодухов,Bogodukhov
Соледар,Соледар,Solar
Ясиноватая,Ясинова,Jasinova
Хотин,Хотин,Kingin
Торецк,Розвалюватися,Toreck
Боково-Хрустальное,Бічний кристал,Side-crystal
Ирпень,Ірпень,Irpen
Александрия,Олександрія,Alexandria
Верхнеднепровск,Верхнендерпровськ,Verkhnedneprovsk
Кобеляки,Кобеляки,Kobelaki
Рени,Рені,Reni
Середина-Буда,Середина-Буда,Mid-Buda
Дубляны,Дубляны,Dubtains
Великие Мосты,Великі мости,Great bridges
Джанкой,Янка,Janka
Черноморск,Чорномськ,Chernomsk
Остер,Остер,Oster
Немиров,Немиров,Nemirov
Перевальск,Перевальск,Pasture
Алушта,Алушта,Alushta.
Горохов,Горохов,Gorokhov
Лохвица,Лохвица,Lokhvitsa
Лубны,Лубний,Lubny
Нежин,Нежин,Nezhin
Ялта,Ялта,Yalta.
Болград,Болград,Bolgrad
Бердянск,Бердянськ,Berdyansk
Кролевец,Кролевець,Krolevets
Ирмино,Ірмін,Irmin
Токмак,Токмак,Tokmak
Доброполье,Добувати,Dobropolye
Суходольск,Суходольськ,Suhodolsk
Молочанск,Мол,Molochang
Гуляйполе,Гуляйполе,Gulyaypole
Копычинцы,Копічі,Kopicians
Глобино,Глобино,Globino
Рогатин,Рогатин,Rogatin
Александровск,Александрівськ,Aleksandrovsk
Новомиргород,Новомиргород,Novomyrgorod
Рожище,Рожище,Rozhysche
Апостолово,Апостоло,Apostolo
Городок,Місто,Town
Хмельник,Хмельник,Khmelnik
Покровск,Покровський,Pokrovsk
Жашков,Молодший,Youngkov
Новый Роздол,Новий хребет,New Ridge
Тлумач,Тлумач,Interpreter
Мостиска,Мостиска,Mostyska.
Часов Яр,Годин.,Hours of Yar.
Горняк,Шахтар,Miner
Борисполь,Бориспіль.,Borispol.
Алупка,Алупка,Alup
Тячев,Плем'я,Tribe
Ивано-Франковск,Івано-Франківськ,Ivano-Frankivsk
Краматорск,Краматорськ,Kramatorsk
Тисмениця,Тисмениця,Tysmovnytsia
Збараж,Збараж,Zbarazh
Селидово,Селід,Selid
Змиёв,Zeriyov,Zeriyov
Звенигородка,Звенигородка,Zvenigorodka
Новодружеск,Новдод,Novyodfor
Яворов,Яворов,Yavorov
Мелитополь,Мелітополь,Melitopol
Бобринец,Бобри,Bobryets
Лиман,Лиман,Estuary
Богуслав,Богуслав,Boguslav
Зоринск,Зорінськ,Zorinsk
Житомир,Житомир,Zhytomyr
Конотоп,Конотоп,Konotop
Новогродовка,Новогродовка,Novogrodovka
Коростышев,Коростишев,Korostyshev
Хуст,Хуст,Khust
Новоселица,Новоселіца,Novoselitsa
Энергодар,Energodar,Energodar
Яготин,Яготин,Yagotin
Бершадь,Бершадь,Bershad.
Молодогвардейск,Молодогвардій,Molodogvardeisk
Тетиев,Тетиєв,Tetiev
Очаков,Стіл,Desk
Покров,Покривати,Cover
Красноперекопск,Красноперекопськ,Krasnoperekopsk
Беляевка,Беляївка,Belyaevka
Кагарлык,Кагарлик,Kagarlyk
Ржищев,Rjivi,Rjivi
Березань,Березань,Berezan
Измаил,Ізмаїл,Izmail
Городенка,Городенка,Gorodenka
Николаевка,Нікола,Nicholas
Барановка,Баранівка,Baranovka
Кременная,Силікант,Silica
Фастов,Фастів,Fastov
Новомосковск,Новомосковськ,Novomoskovsk
Бобровица,Бобровиця,Bobrovitsa
Турка,Турка,Turk
Чернобыль,Чорнобильський,Chernobyl
Керчь,Керч,Kerch
Костополь,Костополь.,Kostopol.
Подгайцы,Подгайца,Podgaitsa
Долинская,Долинская,Dolinskaya
Киверцы,Курець,Kurertsy
Винники,Винники,Vinniki
Гайворон,Гайворон,Rook
Носовка,Нозовка,Nosovka
Шепетовка,Шепеєвка,Shepetovka
Бучач,Бучач,Buchach.
Гнивань,Гнуван,Gnivan
Балта,Манія,Ax
Жидачов,Жидачов,Zhidachov
Залещики,Бігуни,Runners
Изяслав,Атуслав,Atuslav
Липовец,Липовец,Lipovets
Зугрес,Zugres,ZUGRES
Родинское,Родинський,Rodinsky
Луганск,Луганськ,Lugansk
Казатин,Казатин,Katin
Яремче,Яремче,Yaremche
Золотоноша,Золотоноша,Zolotonosha.
